counterexample,execution,proof,synthesis,test
1010.75,127.5,1343.0,261.7142857142857,398.85714285714283
254.25,73.71428571428571,1348.4,496.0,913.5
1043.5,643.0,873.25,278.57142857142856,2513.2
185.7,550.0,1087.0,180.9,723.0
255.0,73.14285714285714,793.25,1115.0,1211.1666666666667
574.6,1726.8,875.25,738.6,810.5
1000.6666666666666,1545.3333333333333,930.1111111111111,181.8,399.85714285714283
1328.6666666666667,91.9,1080.5,266.0,996.2
538.5,259.7,1550.75,1148.8,522.75
575.6,39.22222222222222,1646.25,496.6,2343.5
88.5,39.55555555555556,1551.4,806.2,413.375
857.4285714285714,1117.3333333333333,1640.5,1180.5,977.2857142857143
1316.6666666666667,592.7,866.75,1153.4,918.5
548.1666666666666,185.1,214.2,1545.888888888889,478.0
185.7,1257.0,216.0,67.66666666666667,1797.75
1738.3333333333333,182.9,674.2857142857143,73.5,2882.5
1042.0,1117.7777777777778,682.7142857142857,245.85714285714286,716.2857142857143
1301.3333333333333,1565.0,1499.8,1634.125,1087.75
185.0,171.28571428571428,1546.25,1184.25,2677.0
1010.5,169.71428571428572,1337.6,1178.7142857142858,1475.1666666666667
1406.1666666666667,1632.5,927.4444444444445,1110.142857142857,2763.2
821.7142857142857,704.4,684.1428571428571,67.5,912.5
576.1,592.0,1439.1666666666667,459.8,1798.5
1382.0,1821.3,177.25,1312.2857142857142,1782.0
89.3,549.0,218.8,180.1,1473.6666666666667
1474.6666666666667,72.85714285714286,794.625,74.2,1963.6666666666667
523.5,626.4,1434.5,74.4,1214.3333333333333
90.1,863.25,1519.0,63.666666666666664,1803.5
535.1666666666666,626.5,124.75,1672.857142857143,1242.25
1118.0,1638.8,1228.1666666666667,804.8,996.8
1288.6666666666667,1257.0,1337.7142857142858,1217.0,2353.5
1324.6666666666667,260.6,1091.0,260.7142857142857,1959.6666666666667
1471.3333333333333,678.4,1517.75,803.8,1362.0
1384.0,258.8,1357.1666666666667,748.75,2871.0
566.5,544.0,1481.0,1175.5714285714287,986.6
924.0,167.42857142857142,1126.4285714285713,279.7142857142857,1020.4444444444445
