counterexample,execution,proof,synthesis,test
82.66666666666667,92.0,1085.5714285714287,815.8571428571429,1239.5
420.6666666666667,1241.0,270.0,1635.5,130.0
1968.6666666666667,85.14285714285714,556.5,157.2,397.6666666666667
783.6,519.4,2532.8333333333335,430.5,2829.8333333333335
1808.3333333333333,85.0,237.0,168.6,401.44444444444446
66.33333333333333,379.5,1090.142857142857,162.25,208.25
446.8333333333333,2258.0,1304.75,430.8,205.25
244.6,1558.4,472.85714285714283,166.6,2607.4285714285716
113.5,219.0,464.6,821.1428571428571,4265.166666666667
111.0,1113.888888888889,1967.5,129.0,1226.0
463.6666666666667,2249.0,1596.0,1839.0,876.2
1840.0,273.0,372.1666666666667,1225.375,66.33333333333333
477.3333333333333,499.6,536.0,1680.3333333333333,2610.0
1789.25,1471.7,1544.0,1197.5714285714287,1441.5714285714287
2632.25,657.8571428571429,523.0,93.5,1831.0
779.0,659.0,2064.714285714286,92.0,1824.5
189.5,269.4,1314.2,161.0,3125.6
769.6,1049.4444444444443,724.6666666666666,100.66666666666667,90.71428571428571
1967.0,220.5,1273.857142857143,1195.4285714285713,2028.0
110.8,217.7,1306.75,127.8,1221.5
1767.75,1368.4,1339.0,1230.1666666666667,1419.142857142857
191.2,1115.4444444444443,1847.0,2444.777777777778,2031.0
494.0,1336.4,1781.6666666666667,128.6,2835.5
1753.6666666666667,1384.3,1596.0,855.5,3674.6666666666665
775.8,259.0,472.8,434.8,870.2
758.6666666666666,90.0,2534.8333333333335,857.875,4094.8
494.3,547.0,1970.75,140.6,1573.0
1806.6666666666667,385.0,2208.4285714285716,1620.142857142857,1521.0
715.6666666666666,1054.7777777777778,390.1666666666667,1677.6666666666667,4109.2
1835.25,91.28571428571429,1482.875,92.6,2127.1666666666665
245.4,1329.7,731.1666666666666,1459.375,3210.5
491.9,1349.0,535.1666666666666,1446.5,1656.4285714285713
2639.25,1564.6,1337.8,1268.0,4229.166666666667
779.8333333333334,84.85714285714286,2528.8333333333335,1229.3333333333333,2610.5714285714284
1789.25,163.25,1467.25,155.4,4107.4
190.3,1202.9,556.5,2435.5555555555557,4155.5
