logsimpl,nonsimpl,patsimpl
6119.714285714285,916.0,2883.8571428571427
1339.375,563.75,390.1
720.6666666666666,1582.0,3563.75
1136.8,3820.75,3556.75
1396.625,1001.6666666666666,347.0
1278.1666666666667,6095.5,4938.857142857143
10390.833333333334,854.6,374.6
11211.75,8766.8,2190.8
3497.8571428571427,3244.375,1834.2857142857142
11390.285714285714,6850.714285714285,4637.8
1741.0,3528.0,8338.2
706.625,827.7,2481.75
1781.0,6088.714285714285,2042.6666666666667
9648.5,8480.0,3685.8888888888887
5584.25,1309.875,5470.4
1118.2,3910.5,6127.142857142857
1713.3333333333333,11127.6,3001.285714285714
3823.0,5202.75,1911.8
1990.2857142857142,447.3,5436.857142857143
3181.2,1194.4,2529.777777777778
6640.571428571428,1096.25,1827.0
4606.625,2658.0,491.5
2418.75,512.0,663.5
6123.25,902.5,2306.25
411.6,2329.3333333333335,550.9
691.5,506.9,5706.166666666667
2096.3,1952.25,6039.75
1610.8,476.0,3669.1111111111113
3306.375,558.1,304.25
1633.7,1992.142857142857,6418.714285714285
956.3333333333334,1904.0,5500.444444444444
5988.5,543.1,3512.0
645.9,387.3,2707.285714285714
444.2,749.6666666666666,2070.0
2190.0,1867.2,1281.1666666666667
1516.25,1455.888888888889,828.7142857142857
1898.1666666666667,2184.714285714286,3450.1666666666665
632.1,4514.0,613.1
474.4,4702.285714285715,487.55555555555554
1862.7,2679.0,634.4
3748.875,3632.5555555555557,2210.0
3573.4,1636.0,379.6
538.0,703.2,1700.1
1762.25,2159.8,4996.444444444444
5135.375,2244.5,706.4285714285714
4890.0,11706.25,1846.4444444444443
212.875,5401.5,2014.0
1466.25,11371.142857142857,780.625
869.1,1327.3333333333333,807.7142857142857
1781.2,6443.25,2172.714285714286
816.2,1426.1666666666667,1703.1
449.6,1918.25,1295.857142857143
11718.25,5161.75,3865.6666666666665
2562.25,791.4,548.9
714.5,1682.25,1310.1
934.875,1814.6,4950.833333333333
1935.0,9624.0,848.4
1586.0,747.6,4251.6
4264.0,1642.5,5335.9
1406.888888888889,1367.0,7692.444444444444
