logsimpl,nonsimpl,patsimpl
17755.75,540.6666666666666,5991.833333333333
6294.4,4771.375,3578.2
6554.333333333333,15892.5,3313.3333333333335
6431.75,432.5,4894.428571428572
5153.25,1024.111111111111,2698.5
15013.75,5477.9,1913.142857142857
424.9,673.6666666666666,406.0
7515.25,2167.0,342.8333333333333
3194.4,3846.6666666666665,398.14285714285717
425.3333333333333,23094.0,2542.875
22332.0,932.5,1869.5
905.0,4749.5,1440.3333333333333
17517.75,405.6666666666667,253.22222222222223
1924.6666666666667,418.2,778.1428571428571
1068.625,6462.5,3905.1666666666665
20558.555555555555,3923.5,284.4
2030.142857142857,3123.6,1724.8
3868.8,6340.2,1214.142857142857
4006.0,335.1,726.6666666666666
417.8333333333333,434.5,3590.0
424.9,5965.0,2108.1666666666665
1345.0,13318.2,1960.75
15723.5,15237.5,1060.75
532.6666666666666,9721.8,1328.375
4233.75,1728.3333333333333,2881.6666666666665
4691.285714285715,6616.666666666667,946.0
12356.2,1479.25,337.3
1073.0,416.7,797.3
12772.5,24498.0,2906.8
6982.0,3855.4,1646.1
9428.4,12612.6,3288.6666666666665
23265.75,5132.6,4516.5
5906.3,22353.0,3768.25
384.5,1223.5,818.5
3995.0,18708.375,482.14285714285717
1506.125,20107.5,640.5
338.3,7532.25,3485.0
19263.4,16090.75,5103.4
5183.8,19191.25,4228.333333333333
14469.5,4259.25,435.2
