inlievery,nameevery,namparres,unchanged
6554.333333333333,5991.833333333333,17755.75,6294.4
540.6666666666666,5153.25,4771.375,3578.2
6431.75,1024.111111111111,15892.5,432.5
673.6666666666666,3313.3333333333335,15013.75,7515.25
4894.428571428572,3194.4,424.9,5477.9
342.8333333333333,3846.6666666666665,406.0,2167.0
398.14285714285717,2698.5,2542.875,425.3333333333333
3868.8,22332.0,1924.6666666666667,1913.142857142857
405.6666666666667,23094.0,1440.3333333333333,932.5
6462.5,17517.75,1068.625,905.0
3923.5,253.22222222222223,3905.1666666666665,1869.5
3590.0,778.1428571428571,1724.8,2030.142857142857
2108.1666666666665,20558.555555555555,1214.142857142857,418.2
1328.375,284.4,417.8333333333333,726.6666666666666
335.1,4749.5,1960.75,424.9
2881.6666666666665,4006.0,1060.75,6340.2
532.6666666666666,3123.6,434.5,5965.0
4233.75,1345.0,15723.5,946.0
337.3,1073.0,13318.2,12356.2
9721.8,2906.8,15237.5,6982.0
4691.285714285715,23265.75,1728.3333333333333,1646.1
797.3,818.5,12772.5,3768.25
6616.666666666667,24498.0,1479.25,5906.3
9428.4,19263.4,416.7,640.5
384.5,22353.0,3288.6666666666665,12612.6
3995.0,1223.5,4516.5,3485.0
482.14285714285717,18708.375,1506.125,5132.6
338.3,20107.5,14469.5,5183.8
3855.4,5103.4,16090.75,7532.25
4259.25,4228.333333333333,19191.25,435.2
