counterexample,execution,proof,synthesis,test
720.6666666666666,390.1,2883.8571428571427,1339.375,6119.714285714285
1278.1666666666667,10390.833333333334,1582.0,1136.8,3563.75
916.0,374.6,11211.75,1396.625,3556.75
347.0,827.7,6095.5,563.75,854.6
1001.6666666666666,11127.6,3497.8571428571427,3820.75,11390.285714285714
2190.8,1911.8,8766.8,4938.857142857143,1834.2857142857142
4637.8,506.9,3244.375,706.625,6088.714285714285
8338.2,491.5,1741.0,1309.875,1781.0
6850.714285714285,550.9,8480.0,3910.5,2481.75
3528.0,411.6,5202.75,1194.4,9648.5
447.3,558.1,2042.6666666666667,1096.25,3685.8888888888887
3001.285714285714,2096.3,5584.25,902.5,6127.142857142857
1952.25,1633.7,5470.4,3823.0,2658.0
6640.571428571428,543.1,512.0,2529.777777777778,1118.2
476.0,387.3,5436.857142857143,4606.625,1713.3333333333333
6039.75,444.2,1827.0,691.5,2329.3333333333335
956.3333333333334,1867.2,1990.2857142857142,3669.1111111111113,663.5
5988.5,632.1,5706.166666666667,304.25,2306.25
645.9,2707.285714285714,2418.75,1516.25,3181.2
749.6666666666666,2184.714285714286,1610.8,1455.888888888889,6123.25
1898.1666666666667,1862.7,3306.375,3748.875,1992.142857142857
1281.1666666666667,613.1,1904.0,4514.0,2190.0
3573.4,1636.0,5500.444444444444,3450.1666666666665,6418.714285714285
828.7142857142857,2210.0,3512.0,3632.5555555555557,2070.0
538.0,869.1,474.4,487.55555555555554,4702.285714285715
1762.25,2172.714285714286,2679.0,634.4,2244.5
4890.0,791.4,2159.8,703.2,11371.142857142857
379.6,548.9,5135.375,1846.4444444444443,1327.3333333333333
5401.5,816.2,1700.1,212.875,1466.25
706.4285714285714,1814.6,11706.25,780.625,1682.25
6443.25,449.6,4996.444444444444,1703.1,9624.0
1426.1666666666667,747.6,2014.0,3865.6666666666665,2562.25
1918.25,1310.1,5161.75,934.875,1642.5
807.7142857142857,714.5,1781.2,4251.6,4264.0
1295.857142857143,848.4,11718.25,1406.888888888889,5335.9
1935.0,1586.0,4950.833333333333,1367.0,7692.444444444444
