barefof,guardedfof,tff
6119.714285714285,1136.8,1339.375
2883.8571428571427,3563.75,720.6666666666666
10390.833333333334,3556.75,1396.625
1582.0,11211.75,1278.1666666666667
3820.75,6095.5,916.0
11390.285714285714,4938.857142857143,390.1
6850.714285714285,374.6,563.75
6088.714285714285,2190.8,347.0
1781.0,8766.8,1001.6666666666666
11127.6,4637.8,854.6
2481.75,1741.0,3497.8571428571427
447.3,8338.2,1834.2857142857142
3001.285714285714,3528.0,3244.375
2529.777777777778,827.7,706.625
491.5,8480.0,1309.875
2306.25,3910.5,9648.5
6640.571428571428,5202.75,3685.8888888888887
6123.25,1194.4,512.0
411.6,2042.6666666666667,1118.2
691.5,5584.25,1713.3333333333333
558.1,5470.4,1911.8
1610.8,6127.142857142857,5436.857142857143
1633.7,1096.25,1827.0
304.25,2658.0,1990.2857142857142
1898.1666666666667,902.5,663.5
5500.444444444444,3823.0,3181.2
1455.888888888889,2329.3333333333335,4606.625
1281.1666666666667,506.9,476.0
3748.875,1952.25,2096.3
4702.285714285715,550.9,3306.375
3632.5555555555557,5706.166666666667,3669.1111111111113
538.0,2418.75,1992.142857142857
613.1,6039.75,956.3333333333334
1636.0,5988.5,1904.0
634.4,387.3,543.1
703.2,2190.0,645.9
2159.8,1516.25,444.2
5135.375,632.1,749.6666666666666
4890.0,2070.0,6418.714285714285
379.6,3573.4,1867.2
11706.25,3450.1666666666665,3512.0
5401.5,1762.25,2707.285714285714
4996.444444444444,2244.5,474.4
11371.142857142857,1466.25,2184.714285714286
212.875,6443.25,1862.7
1426.1666666666667,2014.0,4514.0
2172.714285714286,780.625,828.7142857142857
1703.1,869.1,2679.0
1295.857142857143,1918.25,487.55555555555554
5161.75,548.9,2210.0
1781.2,449.6,1700.1
791.4,747.6,706.4285714285714
1682.25,2562.25,1846.4444444444443
816.2,1642.5,1327.3333333333333
11718.25,714.5,807.7142857142857
1310.1,934.875,3865.6666666666665
4950.833333333333,848.4,1814.6
5335.9,1935.0,9624.0
1406.888888888889,4264.0,1586.0
7692.444444444444,4251.6,1367.0
