inlievery,nameevery,namparres,unchanged
6119.714285714285,2883.8571428571427,720.6666666666666,1339.375
1278.1666666666667,3563.75,1396.625,1136.8
390.1,563.75,3556.75,916.0
1001.6666666666666,10390.833333333334,3497.8571428571427,3820.75
854.6,1582.0,1834.2857142857142,11211.75
4938.857142857143,347.0,827.7,374.6
4637.8,6095.5,8480.0,11390.285714285714
6850.714285714285,2190.8,2042.6666666666667,8766.8
6088.714285714285,1741.0,902.5,3244.375
3910.5,3528.0,2329.3333333333335,8338.2
5202.75,706.625,2306.25,1309.875
2481.75,1781.0,3181.2,1194.4
3685.8888888888887,11127.6,2418.75,9648.5
5584.25,447.3,6123.25,5470.4
6127.142857142857,1096.25,6039.75,3001.285714285714
1118.2,2658.0,1992.142857142857,1911.8
3823.0,512.0,5988.5,2529.777777777778
506.9,1713.3333333333333,749.6666666666666,663.5
1827.0,5436.857142857143,1516.25,1952.25
491.5,550.9,1898.1666666666667,2096.3
1990.2857142857142,476.0,1455.888888888889,3306.375
6640.571428571428,691.5,3512.0,1633.7
5706.166666666667,1610.8,1862.7,3669.1111111111113
4606.625,645.9,1281.1666666666667,956.3333333333334
411.6,2190.0,828.7142857142857,387.3
558.1,6418.714285714285,4702.285714285715,1867.2
304.25,2707.285714285714,2679.0,2070.0
1904.0,474.4,613.1,3748.875
543.1,2184.714285714286,2210.0,3450.1666666666665
444.2,3573.4,2159.8,1636.0
5500.444444444444,538.0,4996.444444444444,4890.0
632.1,487.55555555555554,6443.25,2244.5
4514.0,634.4,1426.1666666666667,1700.1
3632.5555555555557,703.2,869.1,11706.25
1762.25,379.6,1703.1,5401.5
5135.375,1327.3333333333333,3865.6666666666665,11371.142857142857
706.4285714285714,2014.0,1781.2,807.7142857142857
1846.4444444444443,780.625,791.4,9624.0
212.875,2172.714285714286,816.2,449.6
1466.25,1682.25,1814.6,11718.25
1918.25,747.6,848.4,2562.25
1295.857142857143,714.5,4264.0,1310.1
5161.75,934.875,4251.6,4950.833333333333
548.9,1586.0,1406.888888888889,1935.0
1642.5,5335.9,1367.0,7692.444444444444
