inlievery,nameevery,namparres,unchanged
2533.777777777778,2330.0,835.0,3321.2
447.0,15540.142857142857,11760.5,1873.7777777777778
1297.142857142857,1336.888888888889,1129.5,1035.6
1272.75,2520.0,1806.0,5973.777777777777
2412.8888888888887,2919.5714285714284,8355.285714285714,709.6666666666666
3722.4,1686.1666666666667,740.9,536.0
7757.5,698.9,8136.5,614.9
6749.75,665.1,3290.6,582.0
10279.6,1468.2222222222222,1253.2,3363.6666666666665
3143.9,10265.875,1666.0,486.8
2685.4285714285716,4051.2,741.0,1175.3
1507.1666666666667,2384.3333333333335,1499.0,4247.75
1235.8,10150.0,8323.555555555555,2440.6666666666665
6179.0,478.0,6258.25,1156.0
4041.3,2595.5,13613.4,1336.0
4359.888888888889,6070.5,1566.857142857143,2620.3333333333335
968.8,724.0,6550.125,5824.5
6221.5,2906.6,1492.8333333333333,1098.3333333333333
1011.7777777777778,4547.857142857143,1163.6666666666667,5728.5
3201.1,547.9,9010.57142857143,1079.75
1617.5,3489.6,6404.6,10311.555555555555
1472.9,1368.6,1175.3,6325.75
2044.1,3303.2,2519.8571428571427,4038.5555555555557
3197.0,399.0,2127.0,4236.777777777777
728.5,565.3,2234.6666666666665,2875.6
2824.3,4320.5,956.0,2817.6
1549.0,453.2,1841.25,3154.777777777778
1852.375,1572.4,1919.5,1563.0
2385.25,4223.1,2354.8,2237.8
6325.625,2734.0,3376.5555555555557,1228.0
1813.0,1014.3,1280.2,5403.625
2899.777777777778,4898.0,3649.25,5467.125
926.0,1589.6666666666667,6594.625,1606.6666666666667
1542.3333333333333,7292.0,742.4,6169.0
3026.5555555555557,15142.57142857143,733.8333333333334,1415.6666666666667
4412.5,1396.8,5934.5,6963.111111111111
631.9,4641.714285714285,4545.111111111111,587.7
1418.0,8085.5,12076.1,1815.2222222222222
1577.4444444444443,3282.8,2273.0,1418.5
7247.111111111111,7437.571428571428,2285.8,1877.2222222222222
2447.6666666666665,5672.666666666667,3623.125,1226.8
1154.6,501.8,6132.666666666667,5414.833333333333
1061.5,2519.2,3357.4,1821.5
1148.5714285714287,3846.5555555555557,7286.0,11329.4
4729.428571428572,6815.444444444444,2198.777777777778,3376.1
