counterexample,execution,proof,synthesis,test
15013.75,5153.25,17755.75,6294.4,6554.333333333333
432.5,424.9,540.6666666666666,4771.375,5991.833333333333
3313.3333333333335,5477.9,6431.75,15892.5,3846.6666666666665
7515.25,406.0,3194.4,3578.2,22332.0
425.3333333333333,778.1428571428571,4894.428571428572,1024.111111111111,1869.5
1913.142857142857,1724.8,23094.0,673.6666666666666,1924.6666666666667
342.8333333333333,4749.5,932.5,2167.0,3905.1666666666665
20558.555555555555,3868.8,905.0,2698.5,4006.0
284.4,418.2,6462.5,398.14285714285717,726.6666666666666
1214.142857142857,424.9,3123.6,2542.875,3923.5
405.6666666666667,335.1,1060.75,17517.75,2108.1666666666665
417.8333333333333,13318.2,946.0,1440.3333333333333,1328.375
1960.75,337.3,532.6666666666666,1068.625,5965.0
434.5,797.3,12356.2,253.22222222222223,15723.5
2881.6666666666665,12772.5,1479.25,2030.142857142857,15237.5
1345.0,2906.8,3288.6666666666665,3590.0,1728.3333333333333
9721.8,1646.1,3768.25,6340.2,6616.666666666667
9428.4,416.7,23265.75,4233.75,6982.0
384.5,5906.3,818.5,4691.285714285715,4516.5
3485.0,338.3,482.14285714285717,1073.0,3995.0
22353.0,3855.4,1506.125,640.5,24498.0
1223.5,19263.4,12612.6,18708.375,5132.6
7532.25,20107.5,5103.4,14469.5,5183.8
16090.75,435.2,19191.25,4259.25,4228.333333333333
